2025-07-27 09:55:36,753 - INFO - Loaded 103 unique wallet addresses
2025-07-27 09:55:36,754 - INFO - Starting risk analysis process...
2025-07-27 09:55:38,265 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,265 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,268 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,268 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,268 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,269 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,269 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,269 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,270 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,270 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,270 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,271 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,271 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,271 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,272 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,272 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,272 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,273 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,273 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,274 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,274 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,274 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,275 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,275 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,276 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,277 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,279 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,279 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,280 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,280 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,281 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,281 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,281 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,282 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,282 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,282 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,282 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,283 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,283 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,284 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,285 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,286 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,287 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:42,112 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:42,113 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:42,114 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:42,114 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:42,115 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:50,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:50,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:55,325 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:55,327 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:55,328 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:05,085 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:05,087 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:05,087 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:05,088 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:05,089 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:05,089 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:06,410 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:06,410 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:06,411 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:06,412 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:06,412 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:06,413 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:11,275 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:11,276 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:11,277 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:11,277 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:11,278 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:12,928 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:12,928 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:12,928 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:12,928 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,717 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
